Location,Country,Category,Visitors,Rating,Revenue,Accommodation_Available
Kerala Backwaters,India,Nature,948853,1.32,84388.38,Yes
Sundarbans,India,Nature,490207,2.58,267279.35,Yes
Munnar,India,Nature,677699,3.24,500007.44,Yes
Jim Corbett National Park,India,Nature,589849,4.82,59869.33,Yes
Taj Mahal,India,Historical,472874,3.05,125893.77,Yes
Hampi,India,Historical,945441,3.44,473372.63,Yes
Red Fort,India,Historical,686213,3.6,76735.01,No
Qutub Minar,India,Historical,536932,3.66,90932.16,No
Varanasi,India,Cultural,323378,4.36,658536.04,No
Jaipur,India,Cultural,811018,1.5,303651.03,Yes
Udaipur,India,Cultural,404119,1.48,358069.05,Yes
Amritsar,India,Cultural,778164,2.27,844887.66,No
Goa,India,Beach,466796,3.62,179208.55,Yes
Gokarna,India,Beach,598971,4.65,221567.21,Yes
Kovalam Beach,India,Beach,884454,2.39,250674.99,Yes
Puducherry,India,Beach,439423,4.66,671970.91,Yes
Rishikesh,India,Adventure,319068,1.98,239590.44,No
Manali,India,Adventure,805195,2.14,296584.73,No
Leh Ladakh,India,Adventure,778496,1.48,823063.26,Yes
Auli,India,Adventure,280691,1.52,405425.51,Yes
Mumbai,India,Urban,324508,3.45,322444.49,Yes
Delhi,India,Urban,772355,4.24,761817.3,Yes
Bengaluru,India,Urban,383698,3.67,829888.19,No
Hyderabad,India,Urban,220510,4.96,270442.89,No
Grand Canyon,USA,Nature,476373,3.45,627963.76,Yes
Yellowstone,USA,Nature,808255,1.0,627270.04,Yes
Yosemite,USA,Nature,717709,2.8,193323.16,No
Zion National Park,USA,Nature,752607,2.97,126871.98,No
Independence Hall,USA,Historical,813627,2.01,802625.6,No
Gettysburg,USA,Historical,44317,2.17,25761.36,No
Alamo Mission,USA,Historical,131940,2.95,78710.35,No
Mount Vernon,USA,Historical,308326,3.18,711128.84,Yes
New Orleans,USA,Cultural,834414,2.81,373506.21,Yes
Boston,USA,Cultural,705490,3.58,135875.08,Yes
Philadelphia,USA,Cultural,220021,2.11,370255.4,Yes
Chicago,USA,Cultural,985854,4.88,954644.51,Yes
Miami Beach,USA,Beach,859352,4.85,719007.54,No
Santa Monica,USA,Beach,95710,3.33,892770.47,No
Myrtle Beach,USA,Beach,531843,2.7,703874.88,No
Clearwater Beach,USA,Beach,173382,4.4,203034.47,No
Moab,USA,Adventure,971260,3.86,355943.11,Yes
Denali,USA,Adventure,117254,3.74,742830.59,Yes
Lake Tahoe,USA,Adventure,432079,3.03,94876.63,Yes
Hawaii Volcanoes Park,USA,Adventure,516044,3.61,969966.78,Yes
New York City,USA,Urban,855061,2.26,444125.87,Yes
Los Angeles,USA,Urban,722612,1.43,226727.8,Yes
Chicago,USA,Urban,685583,4.09,688891.65,Yes
Houston,USA,Urban,628892,1.65,401588.99,No
Amazon Rainforest,Brazil,Nature,508673,1.42,338777.11,Yes
